term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper
地区_潍坊市,0.5290143069102637,8.927691937927296e-13,592554392096.4221,0.0,0.5290143069085135,0.529014306912014
地区_潮州市,0.06654470107191762,1.0841093863169267e-12,61381906578.62643,0.0,0.06654470106979223,0.06654470107404302
地区_濮阳市,0.09809791340599129,1.0336382379384793e-12,94905460929.581,0.0,0.09809791340396484,0.09809791340801774
地区_烟台市,1.0595347338688699,0.014695894395136128,72.09732904854992,0.0,1.030723411595984,1.0883460561417557
地区_焦作市,0.5408996133248349,1.0190261052036522e-12,530800546288.9847,0.0,0.5408996133228371,0.5408996133268328
地区_牡丹江市,0.17916420110361475,0.01469589439515879,12.191445875021808,1.1930657683287643e-33,0.15035287883068443,0.20797552337654507
地区_玉林市,-0.35665330536898043,0.013063017240140426,-27.302521217919363,8.508955275249914e-152,-0.38226336961158375,-0.3310432411263771
地区_玉溪市,0.5381393635912599,0.013063017240167256,41.19564061636113,0.0,0.512529299348604,0.5637494278339158
地区_珠海市,1.3923066197018326,0.01632877155015162,85.26707691546486,0.0,1.3602940393986254,1.4243192000050398
地区_白城市,-0.06741433985034793,1.0962154297737778e-12,-61497346250.87334,0.0,-0.06741433985249706,-0.0674143398481988
地区_白山市,0.3989644892080383,1.0088924305297397e-12,395447995380.98804,0.0,0.39896448920606037,0.3989644892100162
地区_白银市,-0.19457279751020629,0.014695894395113046,-13.239942549866804,2.8657432742426313e-39,-0.2233841197830469,-0.16576147523736567
地区_百色市,-0.23116689569751425,1.0983776379461535e-12,-210462128607.94504,0.0,-0.2311668956996676,-0.2311668956953609
地区_益阳市,-0.10334693684244234,1.0492357371056322e-12,-98497347343.05742,0.0,-0.10334693684449937,-0.1033469368403853
地区_盐城市,0.4991991940673432,1.1890103586907067e-12,419844276728.6254,0.0,0.4991991940650121,0.4991991940696743
地区_盘锦市,1.0378690607414696,1.2250955538135116e-12,847173967378.1052,0.0,1.0378690607390677,1.0378690607438714
地区_眉山市,-0.014820435467571506,8.485741851194851e-13,-17465102907.27815,0.0,-0.014820435469235137,-0.014820435465907875
地区_石嘴山市,0.6138739183494364,0.014695894395165493,41.7717970640414,0.0,0.5850625960764929,0.6426852406223799
地区_石家庄市,0.45624734110166454,0.016328771550080303,27.941314489112365,2.4410950478717275e-158,0.4242347607985971,0.48825992140473196
地区_福州市,0.8837657816274722,1.0088395171632395e-12,876022168632.4673,0.0,0.8837657816254944,0.8837657816294501
地区_秦皇岛市,0.39925800789243304,0.01632877155012564,24.451196874596548,6.108046282730466e-124,0.36724542758927675,0.43127058819558933
地区_绍兴市,1.1118363773125102,8.81719546940197e-13,1260986422690.6167,0.0,1.1118363773107816,1.1118363773142388
地区_绥化市,-0.4352929732377116,7.172662145975585e-13,-606877843091.9745,0.0,-0.4352929732391178,-0.4352929732363054
地区_绵阳市,0.08936942508477497,0.014695894395251418,6.081251176767593,1.2932715409603861e-09,0.06055810281166306,0.11818074735788688
地区_聊城市,0.26088568743575363,9.033732519226106e-13,288790582276.5084,0.0,0.26088568743398255,0.2608856874375247
地区_肇庆市,0.31062047621840116,1.0850109796874488e-12,286283256145.3704,0.0,0.310620476216274,0.31062047622052835
地区_自贡市,0.18094275979451765,7.194586412196739e-13,251498487095.47992,0.0,0.18094275979310714,0.18094275979592817
地区_舟山市,1.1425216338217992,9.45797264225859e-13,1207998454887.6448,0.0,1.1425216338199449,1.1425216338236535
地区_芜湖市,0.7323855906669534,0.01632877155022328,44.85246109386219,0.0,0.7003730103636057,0.7643981709703012
地区_苏州市,1.6136484707107708,9.83923082634746e-13,1640014853996.2576,0.0,1.6136484707088419,1.6136484707126997
地区_茂名市,0.22175171796079654,1.1724263596732538e-12,189139143905.46204,0.0,0.221751717958498,0.2217517179630951
地区_荆州市,-0.238070748139239,0.01306301724006315,-18.224790166325167,1.3059153021451506e-71,-0.26368081238169083,-0.2124606838967872
地区_荆门市,0.3374293832222965,1.0207457731501994e-12,330571423461.23126,0.0,0.3374293832202953,0.33742938322429766
